"kingdom","group","location","website"
"Kingdom of Ealdormere","Shire of Bastille du Lac","Sarnia, Ontario, Canada","https://ealdormere.ca/bastille-du-lac"
"Kingdom of Ealdormere","Shire of Champcorbeau","Sault Ste. Marie, Ontario, Canada","https://www.ealdormere.ca/champcorbeau/"
"Kingdom of Ealdormere","Shire of Trinovantia Nova","London, Ontario, Canada","https://ealdormere.ca/trinovantia-nova"
"Kingdom of Ealdormere","Shire of Ulfheim","Sudbury, Ontario, Canada",""
"Kingdom of Ealdormere","Stronghold of Greyfells","Pembroke, Ontario, Canada","http://skraelingalthing.com/wp/greyfells/"
"Kingdom of Ealdormere","Stronghold of Tor Brant","Arnprior, Ontario, Canada","http://www.skraelingalthing.com/wp/torbrant/"
"Kingdom of Gleann Abhann","Barony of Axemoor","New Orleans, LA Area south of Lake Pontchartrain","http://www.axemoor.net/"
"Kingdom of Gleann Abhann","Barony of Grey Niche","Memphis, TN and surrounding area","http://www.greyniche.net/"
"Kingdom of Gleann Abhann","Barony of Seleone","Gulfport/Biloxi, MS and surrounding area","http://seleone.org"
"Kingdom of Gleann Abhann","Barony of Small Gray Bear","Central Arkansas including Little Rock, North Little Rock, Sherwood, Jacksonville, Pine Bluff and surrounding areas","http://www.smallgraybear.org/"
"Kingdom of Gleann Abhann","Province of Lagerdamm","Conway, AR and surrounding Areas","http://www.lagerdamm.org/"
"Kingdom of Gleann Abhann","Shire of Ardanroe","Shreveport, LA and surrounding area",""
"Kingdom of Gleann Abhann","Shire of Blackmoor Keep","Lake Charles, LA and surrounding area",""
"Kingdom of Gleann Abhann","Shire of Caer Dun","Southeast, MS (east of the Barony of Seleone)","http://caerdun.net"
"Kingdom of Gleann Abhann","Shire of Coill Fhionnabhann","Searcy, AR",""
"Kingdom of Gleann Abhann","Shire of Dragoun’s Weal","Laurel/Hattiesburg, MS and surrounding area",""
"Kingdom of Gleann Abhann","Shire of Iron Ox","Jackson, MS and surrounding area","http://ironox.org/"
"Kingdom of Gleann Abhann","Shire of Loch Bais","Natchitoches, LA and surrounding area",""
"Kingdom of Gleann Abhann","Shire of Ravenshold","Jonesboro, AR",""
"Kingdom of Gleann Abhann","Shire of Smythkepe","Fort Smith, AR and surrounding areas",""
"Kingdom of Gleann Abhann","Shire of Tor An Riogh","Starkville/Columbus/Tupelo, MS and surrounding area",""
"Kingdom of Gleann Abhann","Shire of Troll Fen","Lafayette, LA and surrounding area","http://troll-fen.org"
"Kingdom of Gleann Abhann","Shire of Vogelburg","Alexandria, LA and surrounding area",""
"Kingdom of Gleann Abhann","Shire of Wyrmgeist","Baton Rouge, LA and surrounding area","http://www.wyrmgeist.org/"
"Kingdom of Lochac","Barony of Aneala","Perth, Western Australia","https://aneala.lochac.sca.org/"
"Kingdom of Lochac","Barony of Ildhafn","Auckland, New Zealand","https://ildhafn.lochac.sca.org/"
"Kingdom of Lochac","Barony of Innilgard","Adelaide, South Australia","https://innilgard.lochac.sca.org/"
"Kingdom of Lochac","Barony of Kraé","Australia","https://kraeglas.lochac.sca.org/"
"Kingdom of Lochac","Barony of Mordenvale","Newcastle, New South Wales, Australia","https://mordenvale.lochac.sca.org/"
"Kingdom of Lochac","Barony of River Haven","Brisbane, Queensland, Australia","https://riverhaven.lochac.sca.org/"
"Kingdom of Lochac","Barony of Rowany","Sydney, New South Wales, Australia","https://rowany.lochac.sca.org/"
"Kingdom of Lochac","Barony of Southron Gaard","Christchurch, New Zealand","https://sg.lochac.sca.org/"
"Kingdom of Lochac","Barony of Stormhold","Melbourne, Victoria, Australia","https://stormhold.lochac.sca.org/"
"Kingdom of Lochac","Barony of Ynys Fawr","Hobart, Tasmania, Australia","https://ynysfawr.lochac.sca.org/"
"Kingdom of Lochac","Canton of Burnfield","Melbourne, Victoria, Australia","https://burnfield.lochac.sca.org/"
"Kingdom of Lochac","Canton of Okewaite","Wellington, New Zealand","https://okewaite.lochac.sca.org/"
"Kingdom of Lochac","Canton of Stowe-on-the-Wowld","Melbourne, Victoria, Australia","https://stowe.lochac.sca.org/"
"Kingdom of Lochac","College of Blessed Herman the Cripple","Sydney, New South Wales, Australia","https://blessedherman.lochac.sca.org/"
"Kingdom of Lochac","College of St Basil the Great","Brisbane, Queensland, Australia","https://stbasil.lochac.sca.org/"
"Kingdom of Lochac","College of St Christina the Astonishing","Melbourne, Victoria, Australia","https://stchristina.lochac.sca.org/"
"Kingdom of Lochac","College of St Monica","Wollongong, New South Wales, Australia","https://stmonica.lochac.sca.org/"
"Kingdom of Lochac","College of St Ursula","Sydney, New South Wales, Australia","https://stursula.lochac.sca.org/"
"Kingdom of Lochac","Shire of Adora","Nowra, New South Wales, Australia","https://adora.lochac.sca.org/"
"Kingdom of Lochac","Shire of Bordescros","Albury, New South Wales, Australia","https://bordescros.lochac.sca.org/"
"Kingdom of Lochac","Shire of Darton","Wollongong, New South Wales, Australia","https://darton.lochac.sca.org/"
"Kingdom of Lochac","Shire of Dismal Fogs","Blackheath, New South Wales, Australia","https://dismalfogs.lochac.sca.org/"
"Kingdom of Meridies","Barony of Bryn Madoc","Athens, Jefferson, Commerce, Watkinsville, Monroe, Winder, and points in-between","https://brynmadoc.meridies.org/"
"Kingdom of Meridies","Barony of Glaedenfeld","Greater Nashville area","https://glaedenfeld.meridies.org/"
"Kingdom of Meridies","Barony of Iron Mountain","Greater Birmingham area and Shelby County","https://ironmountain.meridies.org/"
"Kingdom of Meridies","Barony of Osprey","Mobile and Baldwin County","https://osprey.meridies.org/"
"Kingdom of Meridies","Barony of South Downs","Atlanta Metropolitan area","https://southdowns.meridies.org/"
"Kingdom of Meridies","Barony of Thor’s Mountain","Knoxville","https://thorsmountain.meridies.org/"
"Kingdom of Meridies","Canton of Hochwald","Corryton","https://thorsmountain.meridies.org/"
"Kingdom of Meridies","Canton of South Reach","Pulaski","https://glaedenfeld.meridies.org/"
"Kingdom of Meridies","College of Phoenix Rising","Oxford and Anniston area","https://phoenixrising.meridies.org/"
"Kingdom of Meridies","Province of Glynn Rhe","Decatur/Morgan/Limestone / Huntsville and Madison County","https://glynnrhe.meridies.org/"
"Kingdom of Meridies","Shire Des Forges","Trussville","https://desforges.meridies.org/"
"Kingdom of Meridies","Shire of Arenal","Pensacola and Counties of Escambia and Santa Rosa","https://arenal.meridies.org/"
"Kingdom of Meridies","Shire of Beau Fort","Gainesville, including Rabun, Hall, Forsyth, Banks, Lumpkin, Habersham and Dawson counties","https://beaufort.meridies.org/"
"Kingdom of Meridies","Shire of Crimson River","Clarksville","https://crimsonriver.meridies.org/wp/"
"Kingdom of Meridies","Shire of Depedale","Douglasville, Villa Rica, Austell, Lithia Springs, Hiram, and Winston, GA","https://depedale.meridies.org/"
"Kingdom of Meridies","Shire of Drakenmere","Statesbor o, Louisville , and Brooklet","http://drakenmere.meridies.org/"
"Kingdom of Meridies","Shire of Easaraigh","Cookeville","https://easaraigh.meridies.org/"
"Kingdom of Meridies","Shire of Forth Castle","Greater Savannah area","https://forthcastle.meridies.org/"
"Kingdom of Meridies","Shire of Loch Cairn","Manchester, McMinnville, Sewanee, Tullahoma, and WInchester","http://lochcairn.meridies.org/"
"Kingdom of Meridies","Shire of Loch an Fhraoich","Bowling Green","https://lakeofheather.meridies.org"
"Kingdom of Meridies","Shire of Marion Glen","Columbus / Americus","https://marionglen.meridies.org/"
"Kingdom of Meridies","Shire of Nant-y-Derwyddon","NE Tennessee and the SW Corner of Virginia","https://nyd.meridies.org/"
"Kingdom of Meridies","Shire of Okeborne Keep","Tuscaloosa","https://okebornekeep.meridies.org/"
"Kingdom of Meridies","Shire of Owl's Nest","Bartow, Cherokee, Cobb, Gordon, Paulding, and Pickens","https://owlsnest.meridies.org/"
"Kingdom of Meridies","Shire of Phoenix Glade","Fort Walton Beach, Niceville, Destin, Crestview, and surrounding areas","https://phoenixglade.meridies.org/"
"Kingdom of Meridies","Shire of Redewolfden","Murray","http://redewolfden.meridies.org/"
"Kingdom of Meridies","Shire of Rising Stone","Murfreesboro","https://risingstone.meridies.org/"
"Kingdom of Meridies","Shire of Sol Haven","Rockdale, Newton, Walton, Jasper, Butts, Henry, and Morgan",""
"Kingdom of Meridies","Shire of Thorngill","Greater Montgomery area","https://thorngill.meridies.org/"
"Kingdom of Meridies","Shire of Tir Briste","Warner-Robbins/Macon","https://tirbriste.meridies.org/"
"Kingdom of Meridies","Shire of Vulpine Reach","Chattanooga area including Cleveland, Ooltewah, Hixson, Fort Oglethorpe, Dalton, and the surrounding regions","https://vulpinereach.meridies.org/"
"Kingdom of Meridies","Stronghold of Dragonfly Marsh","Valdosta","https://dragonfly.meridies.org"
"Kingdom of Northshield","Barony of Caer Anterth Mawr","Milwaukee, Wisconsin","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Barony of Castel Rouge","Winnipeg, Manitoba, Canada","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Barony of Jararvellir","Madison, Wisconsin","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Barony of Nordskogen","Minneapolis, Minnesota","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Barony of Windhaven","Appleton, Wisconsin","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Canton of Coille Stoirmeil","Tomah, Wisconsin","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Canton of Nordleigh","Northfield, Minnesota","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","College of Svaty Sebesta","Brookings, South Dakota","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Shire of Border Downs","Sioux Falls, South Dakota","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Shire of Coldedernhale","Pierre, South Dakota","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Shire of Darkstone","Ashland, Wisconsin","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Shire of Dreibrucken","Grand Forks, North Dakota","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Shire of Falcon’s Keep","Stevens Point, Wisconsin","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Shire of Inner Sea","Duluth, Minnesota","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Shire of Korsvag","Fargo, North Dakota","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Shire of Mare Amethystinum","Thunder Bay, Ontario, Canada","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Shire of Midewinde","Minot, North Dakota","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Shire of Rivenwood Tower","Mankato, Minnesota","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Shire of Rockhaven","St. Cloud, Minnesota","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Shire of Rokeclif","La Crosse, Wisconsin","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Shire of Schattentor","Rapid City, South Dakota","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Shire of Silfren Mere","Rochester, Minnesota","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Shire of Skerjastrond","Marquette, Michigan","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Shire of Trewint","Aberdeen, South Dakota","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Northshield","Shire of Vilku Urvas","Grand Rapids, Minnesota","https://storymaps.arcgis.com/stories/2a12e90306a949a0bef0a66666a1f3a2"
"Kingdom of Trimaris","Barony of An Crosaire","Gainesville / Alachua County","https://www.ancrosaire.org/"
"Kingdom of Trimaris","Barony of Castlemere","Jacksonville / Orange Park","https://www.castlemere.org/"
"Kingdom of Trimaris","Barony of Darkwater","Orange, Osceola, Seminole, and Lake County","https://www.baronyofdarkwater.org/"
"Kingdom of Trimaris","Barony of Oldenfeld","Tallahassee, Gadsden, Wakulla","https://www.oldenfeld.org/"
"Kingdom of Trimaris","Canton Of Brymmestreme (An Crosaire)","Columbia, Hamilton, Madison and Suwannee Counties","https://brymmestreme.ancrosaire.org/home"
"Kingdom of Trimaris","Canton of Amurgorod (An Crosaire)","Levy & Marion County","https://www.ocalasca.com/home"
"Kingdom of Trimaris","Shire of Sangre del Sol","Ft. Lauderdale / Boca Raton",""
"Kingdom of Trimaris","Shire of Sea March","Palm Beach County","https://www.sea-march.com/"
"Kingdom of Trimaris","Shire of Southkeep","Miami-Dade County / Florida Keys",""
"Kingdom of Trimaris","Shire of Tri Os","Martin, St. Lucie, and Indian Counties",""
"Kingdom of the East","Barony of An Dubhaigeainn","Suffolk County, NY","https://andub.eastkingdom.org"
"Kingdom of the East","Barony of Bergental","Western MA","https://bergental.eastkingdom.org"
"Kingdom of the East","Barony of Beyond the Mountain","North, East CT","https://bbm.eastkingdom.org"
"Kingdom of the East","Barony of Bhakail","Philadelphia, PA; Delaware and South Chester County, PA Bailiwick of Ivyeinrust - University of PA","https://bhakail.eastkingdom.org"
"Kingdom of the East","Barony of Buckland Cross","Southern Bucks County, PA","https://bucklandcross.eastkingdom.org"
"Kingdom of the East","Barony of Carillion","Monmouth, Ocean, S.Middlesex County, NJ","https://carillion.eastkingdom.org"
"Kingdom of the East","Barony of Carolingia","Greater Boston, MA","https://carolingia.eastkingdom.org"
"Kingdom of the East","Barony of Concordia of the Snows","Albany, NY","https://concordia.eastkingdom.org"
"Kingdom of the East","Barony of Dragonship Haven","Southwestern CT","https://dragonshiphaven.eastkingdom.org"
"Kingdom of the East","Barony of Endewearde","Central and Northern Maine","https://endewearde.eastkingdom.org"
"Kingdom of the East","Barony of Havre des Glaces","NE Quebec Province","https://havredesglaces.eastkingdom.org"
"Kingdom of the East","Barony of Iron Bog","Camden,Gloucester, S. Burlington, NJ","https://ironbog.eastkingdom.org"
"Kingdom of the East","Barony of Ruantallan","NS & PEI, Canada","https://ruantallan.eastkingdom.org"
"Kingdom of the East","Barony of Settmour Swamp","Somerset, Morris County, NJ","https://settmourswamp.eastkingdom.org"
"Kingdom of the East","Barony of Smoking Rocks","Southeast MA","https://smokingrocks.eastkingdom.org"
"Kingdom of the East","Barony of Stonemarche","New Hampshire","https://stonemarche.eastkingdom.org"
"Kingdom of the East","Barony of the Bridge","RI State","https://baronyofthebridge.eastkingdom.org"
"Kingdom of the East","Canton of Appleholm","Manhattan, NYC","https://appleholm.eastkingdom.org"
"Kingdom of the East","Canton of Basingestoches","Endewearde","https://basingestoches.eastkingdom.org/"
"Kingdom of the East","Canton of Brokenbridge","Brooklyn, NY","https://brokenbridge.eastkingdom.org"
"Kingdom of the East","Canton of Distant Shore","NS, Canada","https://distantshore.eastkingdom.org"
"Kingdom of the East","Canton of Gryphonwald","Middlesex City, NJ","https://gryphonwald.eastkingdom.org"
"Kingdom of the East","Canton of Hawke's Reache","Western Suffolk County, NY","https://hawkesreache.eastkingdom.org"
"Kingdom of the East","Canton of Lions End","Nassau County, NY","https://lionsend.eastkingdom.org"
"Kingdom of the East","Canton of Midland Vale","Sullivan and Orange Counties, NY","https://midlandvale.eastkingdom.org"
"Kingdom of the East","Canton of Northpass","Putnam & Westchester, NY","https://northpass.eastkingdom.org"
"Kingdom of the East","Canton of Old Stonebridges","Rockland County, NY","https://oldstonebridges.eastkingdom.org/"
"Kingdom of the East","Canton of Seashire","Halifax, NS","https://seashire.eastkingdom.org"
"Kingdom of the East","Canton of Ynys y Gwaun","PEI, Canada","https://ynysygwaun.eastkingdom.org"
"Kingdom of the East","Canton of the Towers","Northeast MA","https://towers.eastkingdom.org/"
"Kingdom of the East","Crown Principality of Tir Mara Website Shire of Ar n-Eilean-ne","Newfoundland and Labrador, Canada",""
"Kingdom of the East","Province of Malagentia","Southern, ME","https://malagentia.eastkingdom.org"
"Kingdom of the East","Province of Østgarðr","Greater NYC, Westchester, and Putnam Counties NY",""
"Kingdom of the East","Riding of Giggleswick","Southern York County, Maine","https://giggleswick.eastkingdom.org"
"Kingdom of the East","Riding of Ravensbridge","Augusta, Lewiston, and Auburn ME","https://ravensbridge.eastkingdom.org"
"Kingdom of the East","Shire of Anglespur","Troy, NY","https://anglespur.eastkingdom.org"
"Kingdom of the East","Shire of Avonmore","New Brunswick, Canada","https://avonmore.eastkingdom.org"
"Kingdom of the East","Shire of Barren Sands","Atlantic, Cape May, Cumberland, Salem County, NJ","https://barrensands.eastkingdom.org"
"Kingdom of the East","Shire of Blak Rose","Camp Hill and Harrisburg, PA","https://blakrose.eastkingdom.org"
"Kingdom of the East","Shire of Caer Adamant","State of Delaware","https://caer-adamant.eastkingdom.org"
"Kingdom of the East","Shire of Coill Tuar","Southern Ulster County, NY","https://coilltuar.eastkingdom.org"
"Kingdom of the East","Shire of Coldwood","Plattsburgh, NY","https://coldwood.eastkingdom.org"
"Kingdom of the East","Shire of Eisental","Allentown, Bethlehem, Easton & Reading, PA","https://www.eisental.eastkingdom.org"
"Kingdom of the East","Shire of Glenn Linn","Warren-Washington County, NY","https://glennlinn.eastkingdom.org"
"Kingdom of the East","Shire of Hadchester","Mid-coast Maine","https://hadchester.eastkingdom.org/"
"Kingdom of the East","Shire of Hartshorn-dale","Chester-Montgomery,PA","http://hartshorn-dale.eastkingdom.org"
"Kingdom of the East","Shire of Lyndhaven","New Brunswick","https://lyndhaven.eastkingdom.org"
"Kingdom of the East","Shire of Montevale","Fulton, Franklin, Cumberland, PA","https://montevale.eastkingdom.org"
"Kingdom of the East","Shire of Mountain Freehold","Northwestern Vermont","https://mountainfreehold.eastkingdom.org"
"Kingdom of the East","Shire of Nordenhalle","Kingston, NY","https://nordenhal.eastkingdom.org"
"Kingdom of the East","Shire of Northern Outpost","Potsdam, NY","https://northernoutpost.eastkingdom.org"
"Kingdom of the East","Shire of Owlsherst","York, Lancaster, and eastern portions of Adams Counties, PA Crown","https://owlsherst.eastkingdom.org"
"Kingdom of the East","Shire of Panther Vale","Northeastern Vermont","https://panthervale.eastkingdom.org"
"Kingdom of the East","Shire of Quintavia","Worcester County, MA","https://quintavia.eastkingdom.org"
"Kingdom of the East","Shire of Rusted Woodlands","Bergen, Sussex, Passaic County, NJ","https://rustedwoodlands.eastkingdom.org"
"Kingdom of the Middle","Barony of Andelcrag","Grand Rapids, Michigan","https://andelcrag.midrealm.org/"
"Kingdom of the Middle","Barony of Ayreton","Chicago, Illinois","https://ayreton.midrealm.org/"
"Kingdom of the Middle","Barony of Brendoken","Akron, Ohio","https://brendoken.midrealm.org/"
"Kingdom of the Middle","Barony of Carraig Ban","DeKalb, Illinois","https://www.midrealm.org/"
"Kingdom of the Middle","Barony of Cynnabar","Ann Arbor, Michigan","https://cynnabar.midrealm.org/"
"Kingdom of the Middle","Barony of Fenix","Cincinnati, Ohio","https://fenix.midrealm.org/"
"Kingdom of the Middle","Barony of Flaming Gryphon","Dayton, Ohio","https://www.midrealm.org/"
"Kingdom of the Middle","Barony of Illiton","Peoria, Illinois","https://illiton.midrealm.org/"
"Kingdom of the Middle","Barony of Northwoods","Lansing, Michigan","https://northwoods.midrealm.org/"
"Kingdom of the Middle","Barony of Red Spears","Toledo, Ohio","https://redspears.midrealm.org/"
"Kingdom of the Middle","Barony of Rivenstar","Lafayette, Indiana","https://rivenstar.midrealm.org/"
"Kingdom of the Middle","Barony of Roaring Wastes","Detroit, Michigan","https://www.midrealm.org/"
"Kingdom of the Middle","Barony of Shattered Crystal","Belleville, Illinois","https://www.midrealm.org/"
"Kingdom of the Middle","Barony of Sternfeld","Indianapolis, Indiana","https://sternfeld.midrealm.org/"
"Kingdom of the Middle","Barony of the Cleftlands","Cleveland, Ohio","https://www.midrealm.org/"
"Kingdom of the Middle","Barony of the Flame","Louisville, Kentucky","https://www.midrealm.org/"
"Kingdom of the Middle","Canton of Ealdnordwuda","East Lansing, Michigan","https://ealdnordwuda.midrealm.org/"
"Kingdom of the Middle","Canton of Hrothgeirsfjordr","Toledo, Ohio","https://www.midrealm.org/"
"Kingdom of the Middle","Canton of Pferdestadt","Delaware, Ohio","https://pferdestadt.midrealm.org/"
"Kingdom of the Middle","Canton of Rimsholt","Grand Rapids, Michigan","https://rimsholt.midrealm.org/"
"Kingdom of the Middle","Canton of Vanished Wood","Chicago, Illinois","https://www.midrealm.org/"
"Kingdom of the Middle","Province of Tree-Girt-Sea","Chicago, Illinois","https://www.midrealm.org/"
"Kingdom of the Middle","Riding of Hawkland Moor","Rochester Hills, Michigan","https://www.midrealm.org/"
"Kingdom of the Middle","Shire of Dark River","Moline, Illinois","https://www.midrealm.org/"
"Kingdom of the Middle","Shire of Dernehealde","Athens, Ohio","https://dernehealde.midrealm.org/"
"Kingdom of the Middle","Shire of Donnershafen","Traverse City, Michigan","https://www.midrealm.org/"
"Kingdom of the Middle","Shire of Dragonsmark","Lexington, Kentucky","https://dragonsmark.midrealm.org/"
"Kingdom of the Middle","Shire of Falcon's Quarry","Elyria, Ohio","https://www.midrealm.org/"
"Kingdom of the Middle","Shire of Lochmorrow","Peoria, Illinois","https://www.midrealm.org/"
"Kingdom of the Middle","Shire of Mugmort","Lancaster, Ohio","https://mugmort.midrealm.org/"
"Kingdom of the Middle","Shire of Mynydd Seren","Bloomington, Indiana","https://www.midrealm.org/"
"Kingdom of the Middle","Shire of Narrental","Logansport, Indiana","https://narrental.midrealm.org/"
"Kingdom of the Middle","Shire of Ravenslake","Crystal Lake, Illinois","https://www.midrealm.org/"
"Kingdom of the Middle","Shire of Rivenvale","Youngstown, Ohio","https://www.midrealm.org/"
"Kingdom of the Middle","Shire of Rokkehealden","Chicago, Illinois","https://rokkehealden.midrealm.org/"
"Kingdom of the Middle","Shire of Shadowed Stars","Fort Wayne, Indiana","https://www.midrealm.org/"
"Kingdom of the Middle","Shire of Stormvale","Flint, Michigan","https://www.midrealm.org/"
"Kingdom of the Middle","Shire of Swordcliff","Springfield, Illinois","https://swordcliff.midrealm.org/"
"Kingdom of the Middle","Shire of Tirnewydd","Columbus, Ohio","https://www.midrealm.org/"
"Kingdom of the Outlands","Barony of Aarquelle","Pueblo, CO","https://aarquelle.outlands.org"
"Kingdom of the Outlands","Barony of Caer Galen","Boulder, CO","https://caergalen.outlands.org"
"Kingdom of the Outlands","Barony of Caerthe","Denver, CO","https://caerthe.outlands.org"
"Kingdom of the Outlands","Barony of Dragonsspine","Colorado Springs, CO","https://dragonsspine.outlands.org"
"Kingdom of the Outlands","Barony of Unser Hafen","Fort Collins, CO","https://unserhafen.outlands.org"
"Kingdom of the Outlands","Barony of al-Barran","Albuquerque, NM","https://al-barran.outlands.org/"
"Kingdom of the Outlands","College of Blaiddwyn","UNM, Albuquerque, NM","https://blaiddwyn.unm.edu/"
"Kingdom of the Outlands","College of St. Golias","Socorro, NM","http://www.saintgolias.outlands.org/"
"Kingdom of the Outlands","Shire of Blackwater Keep","Portales & Clovis, NM","https://blackwater.outlands.org"
"Kingdom of the Outlands","Shire of Bryngolau","Los Alamos & Espanola, NM","https://bryngolau.outlands.org"
"Kingdom of the Outlands","Shire of Draca Mor","Grand Junction, CO","https://dracamor.outlands.org"
"Kingdom of the Outlands","Shire of Drygestan","Santa Fe & Las Vegas, NM","https://drygestan.outlands.org"
"Kingdom of the Outlands","Shire of Fontaine dans Sable","Farmington, NM","https://fontaine.outlands.org"
"Kingdom of the Outlands","Shire of Nahrun Kabirun","Las Cruces, NM","https://nahrunkabirun.outlands.org"
"Kingdom of the Outlands","Shire of Rio de las Animas","Durango, CO","https://riodelasanimas.wordpress.com/"
"Kingdom of the Outlands","Shire of White Mountain","White Sands & Alamogordo, NM","https://whitemountain.outlands.org"
"Kingdom of the Outlands","Shire of Windkeep","Cheyenne, WY","https://windkeep.outlands.org"
"Kingdom of the West","Barony of Darkwood","Santa Cruz, California","https://mists.westkingdom.org/branches-groups/#darkwood"
"Kingdom of the West","Barony of Eskalya","Anchorage, Alaska",""
"Kingdom of the West","Barony of Fettburg","Stockton, California","https://fettburg.westkingdom.org/"
"Kingdom of the West","Barony of Rivenoak","Chico, California","http://rivenoak.westkingdom.org/"
"Kingdom of the West","Barony of Selveirgard","Wasilla, Alaska",""
"Kingdom of the West","Barony of Westermark","Fremont, California","https://mists.westkingdom.org/branches-groups/#westermark"
"Kingdom of the West","Barony of Winter's Gate","Fairbanks, Alaska",""
"Kingdom of the West","Canton of Hawk's Haven","Hollister, California","https://mists.westkingdom.org/branches-groups/#hawks-haven"
"Kingdom of the West","Canton of Montagne du Roi","Monterey, California","https://mists.westkingdom.org/branches-groups/#montaigne-du-roi"
"Kingdom of the West","College of Saint Boniface","Fairbanks, Alaska",""
"Kingdom of the West","College of Saint Katherine","Berkeley, California","https://mists.westkingdom.org/branches-groups/#college-of-st-katherine"
"Kingdom of the West","College of St. David","Santa Cruz, California","https://mists.westkingdom.org/branches-groups/#college-of-st-davis"
"Kingdom of the West","Principality of Cynagua","Sacramento, California","http://cynagua.westkingdom.org"
"Kingdom of the West","Principality of Oertha","Anchorage, Alaska","http://oertha.westkingdom.org"
"Kingdom of the West","Principality of the Mists","San Francisco, California","http://mists.westkingdom.org"
"Kingdom of the West","Province of Golden Rivers","Sacramento, California","http://www.goldenrivers.westkingdom.org/"
"Kingdom of the West","Province of Silver Desert","Reno, Nevada","http://silverdesert.westkingdom.org/"
"Kingdom of the West","Province of Southern Shores","San Jose, California","https://mists.westkingdom.org/branches-groups/#southern-shores"
"Kingdom of the West","Province of the Mists","Oakland, California","https://mists.westkingdom.org/branches-groups/#province-of-the-mists"
"Kingdom of the West","Shire of Belogor","Yreka, California","http://www.crystalmist.org/"
"Kingdom of the West","Shire of Caldarium","San Rafael, California","https://mists.westkingdom.org/branches-groups/#caldarium"
"Kingdom of the West","Shire of Canale","Modesto, California","http://canale.westkingdom.org/"
"Kingdom of the West","Shire of Champclair","Vacaville, California","https://www.facebook.com/groups/653122331461417/"
"Kingdom of the West","Shire of Cloondara","San Francisco, California","https://mists.westkingdom.org/branches-groups/#cloondara"
"Kingdom of the West","Shire of Crosston","Sunnyvale, California","https://mists.westkingdom.org/branches-groups/#crosston"
"Kingdom of the West","Shire of Danegeld Tor","Roseville, California","https://danegeldtor.westkingdom.org/"
"Kingdom of the West","Shire of Earngyld","Juneau, Alaska",""
"Kingdom of the West","Shire of Fendrake Marsh","Fallon, Nevada",""
"Kingdom of the West","Shire of Hrafnafjordr","Kenai, Alaska",""
"Kingdom of the West","Shire of Mountain's Gate","Placerville, California","http://mountainsgate.westkingdom.org/"
"Kingdom of the West","Shire of Pavlok Gorod","Kodiak, Alaska",""
"Kingdom of the West","Shire of Teufelberg","Antioch, California","https://mists.westkingdom.org/branches-groups/#teufelberg"
"Kingdom of the West","Shire of Thistletorr","Colusa, California",""
"Kingdom of the West","Shire of Vakkerfjell","Marysville, California","https://www.facebook.com/groups/131805570222282/"
